2025-11-24 08:56:41,641 - URL: https://cosmarketingagency.com | Status: success | Mode: fast_html | Retries: 0 | Pages: 1 | Emails: 3 | Phones: 7 | Confidence: 0.67 | LoadTime: 3.82s | Reason: Success
2025-11-24 09:00:09,882 - URL: https://cosmarketingagency.com | Status: success | Mode: fast_html | Retries: 0 | Pages: 1 | Emails: 3 | Phones: 7 | Confidence: 0.67 | LoadTime: 4.09s | Reason: Success
2025-11-24 09:01:51,419 - URL: https://graybox.co | Status: success | Mode: hard_mode | Retries: 2 | Pages: 2 | Emails: 4 | Phones: 25 | Confidence: 0.62 | LoadTime: 4.42s | Reason: Success
2025-11-24 09:02:50,734 - URL: https://graybox.co/about | Status: success | Mode: hard_mode | Retries: 2 | Pages: 2 | Emails: 2 | Phones: 26 | Confidence: 0.62 | LoadTime: 2.47s | Reason: Success
2025-11-24 09:03:47,577 - URL: https://graybox.co/about/our-team | Status: success | Mode: hard_mode | Retries: 2 | Pages: 1 | Emails: 2 | Phones: 21 | Confidence: 0.58 | LoadTime: 2.87s | Reason: Success
2025-11-24 09:04:39,034 - URL: https://graybox.co/about/careers | Status: success | Mode: hard_mode | Retries: 2 | Pages: 1 | Emails: 2 | Phones: 10 | Confidence: 0.45 | LoadTime: 1.37s | Reason: Success
2025-11-24 09:05:25,536 - URL: https://graybox.co/contact | Status: success | Mode: js_rendering | Retries: 1 | Pages: 1 | Emails: 4 | Phones: 13 | Confidence: 0.62 | LoadTime: 1.89s | Reason: Success
2025-11-24 09:07:27,438 - URL: https://www.littlecollinsnyc.com/ | Status: success | Mode: fast_html | Retries: 0 | Pages: 2 | Emails: 1 | Phones: 2 | Confidence: 0.46 | LoadTime: 0.48s | Reason: Success
2025-11-24 09:07:37,423 - URL: https://www.littlecollinsnyc.com/contact | Status: success | Mode: fast_html | Retries: 0 | Pages: 1 | Emails: 1 | Phones: 2 | Confidence: 0.42 | LoadTime: 0.35s | Reason: Success
2025-11-24 09:10:19,290 - URL: https://www.littlecollinsnyc.com/ | Status: success | Mode: fast_html | Retries: 0 | Pages: 2 | Emails: 0 | Phones: 2 | Confidence: 0.41 | LoadTime: 1.03s | Reason: Success
2025-11-24 09:10:36,648 - URL: https://www.littlecollinsnyc.com/contact | Status: success | Mode: fast_html | Retries: 0 | Pages: 1 | Emails: 0 | Phones: 2 | Confidence: 0.37 | LoadTime: 0.26s | Reason: Success
2025-11-24 09:13:51,170 - URL: https://www.littlecollinsnyc.com/ | Status: success | Mode: fast_html | Retries: 0 | Pages: 2 | Emails: 0 | Phones: 2 | Confidence: 0.41 | LoadTime: 0.91s | Reason: Success
2025-11-24 09:14:07,932 - URL: https://www.littlecollinsnyc.com/contact | Status: success | Mode: fast_html | Retries: 0 | Pages: 1 | Emails: 0 | Phones: 2 | Confidence: 0.37 | LoadTime: 0.11s | Reason: Success
2025-11-24 09:17:28,115 - URL: https://www.littlecollinsnyc.com/ | Status: success | Mode: fast_html | Retries: 0 | Pages: 2 | Emails: 0 | Phones: 2 | Confidence: 0.41 | LoadTime: 0.00s | Reason: Success
2025-11-24 09:17:34,194 - URL: https://www.littlecollinsnyc.com/contact | Status: success | Mode: fast_html | Retries: 0 | Pages: 1 | Emails: 0 | Phones: 2 | Confidence: 0.37 | LoadTime: 0.00s | Reason: Success
2025-11-24 09:18:05,453 - URL: https://www.littlecollinsnyc.com/ | Status: success | Mode: fast_html | Retries: 0 | Pages: 2 | Emails: 0 | Phones: 2 | Confidence: 0.41 | LoadTime: 0.00s | Reason: Success
2025-11-24 09:18:11,652 - URL: https://www.littlecollinsnyc.com/contact | Status: success | Mode: fast_html | Retries: 0 | Pages: 1 | Emails: 0 | Phones: 2 | Confidence: 0.37 | LoadTime: 0.00s | Reason: Success
2025-11-24 09:19:28,425 - URL: https://cosmarketingagency.com | Status: success | Mode: fast_html | Retries: 0 | Pages: 1 | Emails: 3 | Phones: 7 | Confidence: 0.67 | LoadTime: 2.99s | Reason: Success
2025-11-24 09:20:43,292 - URL: https://www.littlecollinsnyc.com/ | Status: success | Mode: fast_html | Retries: 0 | Pages: 2 | Emails: 0 | Phones: 2 | Confidence: 0.41 | LoadTime: 2.39s | Reason: Success
2025-11-24 09:20:50,449 - URL: https://www.littlecollinsnyc.com/contact | Status: success | Mode: fast_html | Retries: 0 | Pages: 1 | Emails: 0 | Phones: 2 | Confidence: 0.37 | LoadTime: 0.54s | Reason: Success
2025-11-24 09:21:13,889 - URL: https://www.littlecollinsnyc.com/ | Status: success | Mode: fast_html | Retries: 0 | Pages: 2 | Emails: 0 | Phones: 2 | Confidence: 0.41 | LoadTime: 0.00s | Reason: Success
2025-11-24 09:21:19,870 - URL: https://www.littlecollinsnyc.com/contact | Status: success | Mode: fast_html | Retries: 0 | Pages: 1 | Emails: 0 | Phones: 2 | Confidence: 0.37 | LoadTime: 0.00s | Reason: Success
2025-11-24 09:23:30,353 - URL: https://www.littlecollinsnyc.com/ | Status: success | Mode: fast_html | Retries: 0 | Pages: 2 | Emails: 0 | Phones: 2 | Confidence: 0.41 | LoadTime: 0.00s | Reason: Success
